family,outcome,window,unit,statistic,modality,comparator,rows,include_rows,usable_contrasts,independent_studies,verdict,studies
functional_recovery_and_other,PSQI score,48 h,PSQI points,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zheng 2025
functional_recovery_and_other,Patient satisfaction — extremely satisfied,Postoperative assessment; exact clock time not separately stated,percent,Published percentage (95% CI),TEAS,Sham,3,0,0,0,NOT POOLED - only 0 independent study,
functional_recovery_and_other,REM sleep,First night before surgery after preoperative stimulation,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,REM sleep,First postoperative night,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,REM sleep,Third postoperative night,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,Recovery-room stay,Recovery-room discharge,minutes,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Zhang 2014
functional_recovery_and_other,Recovery-room stay >30 min,Immediate postoperative recovery,percent,Published percentage,EA,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
functional_recovery_and_other,Removing the catheter time,Postoperative,minutes,Median/IQR,TEAS,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
functional_recovery_and_other,Satisfied,36 h postoperatively,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Gu 2019
functional_recovery_and_other,Sleep efficiency,First night before surgery after preoperative stimulation,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,Sleep efficiency,First postoperative night,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,Sleep efficiency,Third postoperative night,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,Stable sleep,First night before surgery after preoperative stimulation,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,Stable sleep,First postoperative night,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,Stable sleep,Third postoperative night,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,Time of conscious,PACU/recovery,minutes,Mean/SD,TEAS,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Pan 2023
functional_recovery_and_other,Time of extubation,PACU/recovery,minutes,Mean/SD,TEAS,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Pan 2023
functional_recovery_and_other,Time of respiratory recovery,PACU/recovery,minutes,Mean/SD,TEAS,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Pan 2023
functional_recovery_and_other,Time to ambulation,Postoperative,days,Graph-only mean±SE,MODALITY_REVIEW_REQUIRED,CONTROL_TYPE_REVIEW_REQUIRED,1,0,0,0,HOLD - comparator type needs adjudication,
functional_recovery_and_other,Time to discharge from operating room,Immediate postoperative recovery,minutes,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2015
functional_recovery_and_other,Time to extubation,Immediate postoperative recovery,minutes,Mean/SD,TEAS,Sham,2,2,2,1,NOT POOLED - only 1 independent study,Lu 2021
functional_recovery_and_other,Time to first verbal response,Immediate postoperative recovery,minutes,Mean/SD,TEAS,Sham,2,2,2,1,NOT POOLED - only 1 independent study,Lu 2021
functional_recovery_and_other,Time to meet discharge criteria,Postoperative,days,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Lu 2022
functional_recovery_and_other,Time to out-of-bed activity,Postoperative,hours,Mean/SD,EA,Usual care,1,1,1,1,NOT POOLED - only 1 independent study,Yang 2020
functional_recovery_and_other,Time to reorientation,Immediate postoperative recovery,minutes,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2015
functional_recovery_and_other,Time to spontaneous movement,Immediate postoperative recovery,minutes,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2015
functional_recovery_and_other,Time to spontaneous respiration after anesthesia,Immediate postoperative recovery,minutes,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2015
functional_recovery_and_other,Total intraoperative propofol consumption,Intraoperative,mg propofol,Mean/SD,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Liu 2015
functional_recovery_and_other,Total sleep time measured by ambulatory sleep recorder,First postoperative night,minutes,Median/IQR,EA,Sham,1,0,0,0,NOT POOLED - only 0 independent study,
functional_recovery_and_other,Unstable sleep,First night before surgery after preoperative stimulation,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,Unstable sleep,First postoperative night,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,Unstable sleep,Third postoperative night,%,Mean/SD,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,1,1,1,1,HOLD - comparator type needs adjudication,Song 2020
functional_recovery_and_other,Utilization of remedial drugs in PACU,PACU,participants,Events/total,TEAS,Usual care,1,0,0,0,NOT POOLED - only 0 independent study,
functional_recovery_and_other,Very satisfied,36 h postoperatively,participants,Events/total,TEAS,Sham,1,1,1,1,NOT POOLED - only 1 independent study,Gu 2019
