model_id,field,python,metafor,absolute_difference,tolerance,pass_check
opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,ci_low,-32.66507517569147,-32.665075015601,1.6009047243414898e-07,4.266507517569147e-05,True
opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,ci_high,15.846795222707929,15.84679519915,2.355792894093156e-08,2.584679522270793e-05,True
opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,p,0.2743053108852408,0.274305312373529,1.488288214890332e-09,1.0274305310885242e-05,True
opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,tau2,76.40314755287265,76.403142492715,5.060157647562846e-06,8.640314755287265e-05,True
opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020,I2,96.9387292844975,96.9387290879571,1.96540398178513e-07,0.0001069387292844975,True
opioid24_TEAS_sham_expanded_suf0.5,k,4,4,0.0,1.4000000000000001e-05,True
opioid24_TEAS_sham_expanded_suf0.5,N,337,337,0.0,0.00034700000000000003,True
opioid24_TEAS_sham_expanded_suf0.5,effect,-9.763694016283118,-9.7636940160432,2.3991830744307663e-10,1.9763694016283116e-05,True
opioid24_TEAS_sham_expanded_suf0.5,se,4.142282518183067,4.14228251812431,5.875655517684208e-11,1.4142282518183067e-05,True
opioid24_TEAS_sham_expanded_suf0.5,ci_low,-22.946285711716115,-22.9462857112892,4.26915391926741e-10,3.294628571171611e-05,True
opioid24_TEAS_sham_expanded_suf0.5,ci_high,3.418897679149877,3.41889767920282,5.2942983330694915e-11,1.3418897679149878e-05,True
opioid24_TEAS_sham_expanded_suf0.5,p,0.0996633514689131,0.0996633514711263,2.213201844014634e-12,1.0099663351468915e-05,True
opioid24_TEAS_sham_expanded_suf0.5,tau2,57.63883131863179,57.6388312998249,1.880688671462849e-08,6.763883131863179e-05,True
opioid24_TEAS_sham_expanded_suf0.5,I2,97.92561568283168,97.9256156821689,6.627800530623063e-10,0.00010792561568283167,True
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,k,3,3,0.0,1.3000000000000001e-05,True
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,N,257,257,0.0,0.00026700000000000004,True
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,effect,-8.409139976491769,-8.4091399082255,6.826626908207345e-08,1.840913997649177e-05,True
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,se,5.637437349170424,5.63743732782912,2.1341304723421217e-08,1.5637437349170425e-05,True
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,ci_low,-32.66507517569147,-32.665075015601,1.6009047243414898e-07,4.266507517569147e-05,True
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,ci_high,15.846795222707929,15.84679519915,2.355792894093156e-08,2.584679522270793e-05,True
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,p,0.2743053108852408,0.274305312373529,1.488288214890332e-09,1.0274305310885242e-05,True
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,tau2,76.40314755287265,76.403142492715,5.060157647562846e-06,8.640314755287265e-05,True
opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020,I2,96.9387292844975,96.9387290879571,1.96540398178513e-07,0.0001069387292844975,True
opioid24_TEAS_sham_expanded_suf1,k,4,4,0.0,1.4000000000000001e-05,True
opioid24_TEAS_sham_expanded_suf1,N,337,337,0.0,0.00034700000000000003,True
opioid24_TEAS_sham_expanded_suf1,effect,-13.995274618644093,-13.995274623331,4.6869068626165244e-09,2.3995274618644092e-05,True
opioid24_TEAS_sham_expanded_suf1,se,6.448962678442688,6.44896272186139,4.341870241120205e-08,1.6448962678442688e-05,True
opioid24_TEAS_sham_expanded_suf1,ci_low,-34.51875206756655,-34.5187522104311,1.4286455041201407e-07,4.451875206756655e-05,True
opioid24_TEAS_sham_expanded_suf1,ci_high,6.528202830278364,6.52820296376918,1.334908166228388e-07,1.6528202830278365e-05,True
opioid24_TEAS_sham_expanded_suf1,p,0.11843838754759752,0.11843838909303,1.5454324903130257e-09,1.01184383875476e-05,True
